,Show startmenu,,Desktop icon,,Switch the desktop,,Resize the taskbar,,Show and update the clock,,Search for program,,Manage quick launch items,,Taskbar settings,,Change window size,,Show desktop,,"Manage file sytem, drive, directories and files",,Run... dialog,,Drag and drop,,Manage tray icons,,Persistent user state,,General Purpose Code,
BackgroundWindow::BackgroundWindow,1,6,1,6,4,3,2,5,0,7,0,8,0,8,0,8,2,5,3,3,0,8,0,8,0,3,0,8,0,8,1,6
BackgroundWindow::DrawDesktopBkgnd,1,5,1,4,3,3,1,4,1,6,0,6,0,6,0,6,2,4,5,0,0,7,0,6,0,5,0,6,0,7,1,6
BackgroundWindow::WndProc,1,5,1,4,3,3,1,5,1,6,0,7,0,7,0,7,2,4,4,1,1,6,0,7,0,5,2,5,0,7,2,5
Bookmark::Bookmark,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Bookmark::read,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Bookmark::read_url,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Bookmark::write,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkFolder::read,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BookmarkFolder::write,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BookmarkList::fill_tree,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkList::import_IE_favorites,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkList::read,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkList::write,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkNode::BookmarkNode,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,2,1,0,3,0,3,0,3,0,3,0,3
BookmarkNode::clear,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,0,3,1,2
BookmarkNode::operator=,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,0,2,0,3,0,3,0,3,0,3,1,2
BookmarkNode::~BookmarkNode,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,2,1,0,3,0,3,0,3,0,3,0,3
BrowseMenu::AddEntries,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BrowseMenu::BrowseMenu,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BrowserCallback::entry_selected,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1
BrowserCallback::~BrowserCallback,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1
BrowserNavigator::attach,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,3
BrowserNavigator::BrowserNavigator,0,5,1,4,0,5,0,5,0,5,1,4,0,5,0,5,0,4,1,4,0,5,0,5,1,4,0,5,0,5,1,3
BrowserNavigator::get_browser,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
BrowserNavigator::goto_url,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,3
BrowserNavigator::navigated,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,3
BrowserNavigator::set_html_page,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,2,2
BtnWindowClass::BtnWindowClass,2,2,1,3,1,3,1,3,1,3,0,4,0,4,1,3,0,4,1,3,0,4,0,4,0,4,0,4,0,4,2,2
Button::Button,1,3,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,2
ChildWindow::ChildWindow,1,7,0,8,0,7,0,8,2,6,2,6,2,6,0,7,2,6,0,7,3,5,2,6,1,7,1,7,0,8,4,4
ChildWindow::create,1,7,0,8,0,8,0,8,2,6,2,6,2,6,1,7,0,8,0,8,3,5,2,6,0,8,1,7,0,8,3,3
ChildWindow::go_to,0,8,0,8,0,7,0,8,0,8,0,7,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,8,0,7,4,3
ChildWindow::jump_to_int,0,7,0,7,0,6,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,2,3
ChildWindow::resize_children,0,7,0,8,1,7,1,6,0,7,0,7,0,8,0,8,7,1,1,7,1,6,0,7,0,7,0,8,0,8,1,7
ChildWindow::set_url,0,7,0,8,0,8,0,8,0,7,0,7,0,8,0,8,0,8,1,6,1,7,0,7,1,7,0,8,0,8,4,3
ChildWindow::WndProc,0,7,0,8,0,6,0,7,0,7,0,7,0,6,0,7,2,4,0,7,1,6,0,7,0,5,0,7,0,8,3,5
ChildWndInfo::ChildWndInfo,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
ClockWindow::ClockWindow,0,9,1,8,0,9,0,9,6,3,0,9,0,9,0,9,1,7,0,9,0,9,0,9,1,8,2,7,0,9,1,8
ClockWindow::Create,0,7,0,7,0,7,0,7,6,1,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,1,6
ClockWindow::FormatTime,0,7,0,7,0,7,0,7,5,2,0,7,0,7,0,7,0,6,0,6,1,6,0,7,0,7,0,7,0,7,2,5
ClockWindow::Notify,0,7,0,7,0,7,0,7,4,2,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,1,6
ClockWindow::Paint,0,7,0,7,0,7,0,7,5,1,0,7,0,7,0,7,1,6,0,7,0,7,0,7,0,7,0,7,0,7,1,6
ClockWindow::TimerTick,0,7,0,7,0,7,0,7,5,1,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,1,6
ClockWindow::WndProc,0,6,0,6,0,6,0,6,4,1,0,6,0,5,0,6,0,5,0,6,0,6,0,6,0,5,0,5,0,6,1,5
CollectProgramsThread::CollectProgramsThread,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,2,0
CollectProgramsThread::collect_programs,0,2,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,2,0
CollectProgramsThread::free_dirs,0,2,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,1,0
CollectProgramsThread::Run,0,2,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,2,0
CollectProgramsThread::~CollectProgramsThread,0,2,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,0
ColorStatic::ColorStatic,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,2
ColorStatic::WndProc,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,2,1
COMException::COMException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMException::toString,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMExceptionBase::COMExceptionBase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMExceptionBase::Error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMExceptionBase::ErrorMessage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComInit::ComInit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ComInit::~ComInit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CommonDesktop::CommonDesktop,0,2,0,2,1,0,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
CommonDesktop::init,0,2,0,2,1,0,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
CommonDesktop::operator ShellFolder,0,2,0,2,1,0,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
CommonDesktop::~CommonDesktop,0,2,0,2,1,0,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
CommonShellMalloc::CommonShellMalloc,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
CommonShellMalloc::init,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
CommonShellMalloc::operator IMalloc *,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CommonShellMalloc::~CommonShellMalloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ConnectionPoint::ConnectionPoint,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1
CtlColorParent::CtlColorParent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CtlColorParent::WndProc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CtxMenuInterfaces::CtxMenuInterfaces,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
CtxMenuInterfaces::HandleMenuMsg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CtxMenuInterfaces::query_interfaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CtxMenuInterfaces::reset,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
DesktopBar::Command,2,0,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,1,1
DesktopBar::ControlResize,1,1,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2
DesktopBar::Create,1,1,0,2,1,1,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2
DesktopBar::DesktopBar,1,1,0,2,1,1,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2
DesktopBar::Init,1,1,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,1,1
DesktopBar::Notify,1,1,0,2,1,1,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2
DesktopBar::ProcessCopyData,1,1,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2
DesktopBar::ProcessHotKey,1,1,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2
DesktopBar::RegisterHotkeys,1,1,0,2,1,1,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2
DesktopBar::Resize,1,1,0,2,0,2,1,1,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2
DesktopBar::ShowStartMenu,3,0,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,1,2,0,3,0,3,0,3,1,2,0,3,0,3
DesktopBar::WndProc,1,1,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,1,1
DesktopBar::~DesktopBar,1,1,0,2,1,1,0,2,0,2,0,2,0,2,1,1,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2
DesktopDropTarget::DesktopDropTarget,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
DesktopDropTarget::DragLeave,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
DesktopDropTarget::DragOver,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
DesktopDropTarget::OnDrop,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
DesktopFolderPath::DesktopFolderPath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desktops::Desktops,0,6,2,4,3,3,1,5,0,6,0,6,0,6,1,5,0,6,3,3,0,6,0,6,1,5,1,5,0,6,2,4
Desktops::init,0,4,1,2,2,2,1,3,0,4,0,4,0,4,1,3,0,4,2,2,0,4,0,4,1,3,1,3,0,4,2,2
Desktops::SwitchToDesktop,0,7,1,7,7,1,1,6,0,8,0,8,0,8,1,7,0,8,2,6,0,8,0,8,1,7,1,7,0,8,0,8
Desktops::ToggleMinimize,0,5,1,3,2,2,1,3,0,5,0,5,0,5,1,4,1,4,3,1,0,5,0,5,1,4,1,3,0,5,0,5
Desktops::~Desktops,0,5,1,4,3,2,1,4,0,5,0,5,0,5,1,4,0,5,2,2,0,5,0,5,1,4,1,4,0,5,1,4
DesktopSettingsDlg::Command,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
DesktopSettingsDlg::DesktopSettingsDlg,1,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,2,1,1,1,1,2,0,3,0,2,0,3,0,3,0,3
DesktopSettingsDlg::Notify,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1
DesktopShellView::Command,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0,2,0,2,0,2,0,2,0,2,1,1
DesktopShellView::DesktopShellView,1,6,4,3,2,4,0,7,0,7,0,7,0,6,0,6,2,5,4,2,0,7,0,7,1,4,0,6,1,6,0,7
DesktopShellView::DoContextMenu,0,3,1,4,0,5,0,4,0,4,1,4,0,5,1,4,0,5,0,4,0,4,0,5,1,4,0,5,0,5,0,3
DesktopShellView::DoDesktopContextMenu,0,3,0,4,0,4,0,3,0,3,0,4,0,4,1,3,0,4,1,3,0,3,0,4,0,4,0,4,0,4,0,2
DesktopShellView::InitDragDrop,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,6,0,6,0,7,0,7,7,0,0,7,0,7,0,7
DesktopShellView::Notify,0,3,0,3,1,2,0,3,0,2,0,3,0,3,0,3,0,3,1,1,0,3,0,3,0,3,0,3,0,3,1,1
DesktopShellView::PositionIcons,0,6,5,0,1,5,0,6,0,6,0,6,0,6,0,6,0,6,1,3,0,6,0,6,0,6,0,6,0,6,0,6
DesktopShellView::refresh,0,3,0,3,1,1,0,3,0,3,0,3,0,3,0,3,0,3,1,0,0,3,0,3,0,3,0,3,0,3,0,2
DesktopShellView::WndProc,0,4,1,4,0,4,0,5,0,5,0,5,0,5,0,5,0,4,2,2,0,5,0,5,0,4,0,5,0,5,1,4
DesktopWindow::Create,1,2,1,2,1,2,0,3,0,3,1,2,0,3,0,3,0,3,1,2,0,3,1,2,0,3,1,2,0,3,0,3
DesktopWindow::DesktopWindow,1,3,2,2,2,2,1,3,0,4,0,4,1,3,1,3,1,3,3,1,0,4,0,4,2,2,1,3,0,4,0,4
DesktopWindow::GetControlWindow,0,3,0,3,1,2,0,3,0,3,0,3,0,3,0,3,1,2,1,2,0,3,0,3,0,3,0,3,0,3,0,3
DesktopWindow::GetWindow,1,2,2,1,2,1,1,2,0,3,0,3,1,2,1,2,0,3,3,0,0,3,0,3,1,2,1,2,0,3,0,3
DesktopWindow::Init,0,4,1,3,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,2,0,4,0,4,0,4,0,4,0,4,1,3
DesktopWindow::OnDefaultCommand,0,3,1,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,0,3,0,3,1,2
DesktopWindow::QueryActiveShellView,0,3,1,2,1,2,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,0,3,0,3,1,2
DesktopWindow::SendControlMsg,0,3,0,3,1,2,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,0,3,0,3,0,3
DesktopWindow::WndProc,2,1,1,2,1,2,0,3,0,3,0,3,1,2,0,3,1,2,1,2,0,3,0,3,0,3,1,2,0,3,0,3
DesktopWindow::~DesktopWindow,1,2,2,1,2,1,1,2,0,3,0,3,1,2,1,2,0,3,2,1,0,3,0,3,1,2,1,2,0,3,0,3
Dialog::Command,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialog::Dialog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialog::DoModal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialog::WndProc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dialog::~Dialog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DialogWindow::DialogWindow,0,2,0,3,0,3,0,3,1,2,0,2,0,3,0,3,1,2,0,3,0,3,2,1,0,3,1,2,0,3,0,3
DialogWindow::~DialogWindow,0,2,0,3,0,3,0,3,1,2,0,2,0,3,0,3,1,2,0,3,0,3,2,1,0,3,1,2,0,3,0,3
Directory::Directory,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
Directory::~Directory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DragSourceHelper::DragSourceHelper,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,0,3,0,3,1,2
DragSourceHelper::InitializeFromBitmap,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,0,3,0,3,1,2
DragSourceHelper::InitializeFromWindow,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,0,3,0,3,1,2
DragSourceHelper::~DragSourceHelper,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,0,3,0,3,1,2
DWebBrowserEvents2IF::BeforeNavigate2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
DWebBrowserEvents2IF::ClientToHostWindow,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
DWebBrowserEvents2IF::CommandStateChange,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
DWebBrowserEvents2IF::DocumentComplete,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
DWebBrowserEvents2IF::DownloadBegin,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
DWebBrowserEvents2IF::DownloadComplete,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
DWebBrowserEvents2IF::FileDownload,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
