 N->T%, TraceRecall_T,  TraceRecall_NT,INTERVAL 
58,33,7,[40-60[
45,40,10,[40-60[
74,41,2,[60-80[
90,20,1,[80-100]
33,0,15,[20-40[
43,39,11,[40-60[
26,50,20,[20-40[
66,52,6,[60-80[
45,52,11,[40-60[
40,43,13,[40-60[
87,75,1,[80-100]
18,57,28,]0-20[
92,85,0,[80-100]
39,22,12,[20-40[
89,40,0,[80-100]
21,0,24,[20-40[
84,46,2,[80-100]
41,40,11,[40-60[
58,34,7,[40-60[
30,0,19,[20-40[
12,0,33,]0-20[
97,65,0,[80-100]
79,67,1,[60-80[
55,38,6,[40-60[
36,52,16,[20-40[
58,50,9,[40-60[
42,50,13,[40-60[
16,57,30,]0-20[
94,85,0,[80-100]
67,33,6,[60-80[
68,30,5,[60-80[
67,0,4,[60-80[
14,33,28,]0-20[
62,40,6,[60-80[
41,39,11,[40-60[
24,20,25,[20-40[
43,0,10,[40-60[
43,46,13,[40-60[
81,53,2,[80-100]
92,45,1,[80-100]
89,61,1,[80-100]
3,43,42,]0-20[
78,75,2,[60-80[
14,52,31,]0-20[
52,71,7,[40-60[
88,33,1,[80-100]
1,5,50,]0-20[
66,0,5,[60-80[
73,46,2,[60-80[
40,20,16,[40-60[
78,39,2,[60-80[
18,0,24,]0-20[
38,0,13,[20-40[
19,39,26,]0-20[
32,53,16,[20-40[
18,32,22,]0-20[
9,52,39,]0-20[
18,31,26,]0-20[
74,75,2,[60-80[
74,61,4,[60-80[
94,85,0,[80-100]
17,11,27,]0-20[
66,35,6,[60-80[
82,0,2,[80-100]
6,40,38,]0-20[
1,20,51,]0-20[
16,31,26,]0-20[
90,40,0,[80-100]
10,0,34,]0-20[
45,46,14,[40-60[
54,53,8,[40-60[
54,36,10,[40-60[
93,61,0,[80-100]
70,50,4,[60-80[
82,75,1,[80-100]
27,61,19,[20-40[
45,71,10,[40-60[
74,22,4,[60-80[
17,5,30,]0-20[
40,0,12,[40-60[
1,33,41,]0-20[
43,20,12,[40-60[
33,30,16,[20-40[
26,0,20,[20-40[
89,0,1,[80-100]
13,41,28,]0-20[
73,60,3,[60-80[
24,34,18,[20-40[
10,47,36,]0-20[
55,43,8,[40-60[
97,75,0,[80-100]
45,61,11,[40-60[
95,78,0,[80-100]
42,22,13,[40-60[
95,40,0,[80-100]
68,0,4,[60-80[
37,33,13,[20-40[
61,40,5,[60-80[
43,36,11,[40-60[
80,40,3,[80-100]
48,0,10,[40-60[
15,39,29,]0-20[
76,50,1,[60-80[
60,38,6,[60-80[
40,52,14,[40-60[
94,62,0,[80-100]
25,37,22,[20-40[
98,61,0,[80-100]
39,64,13,[20-40[
85,22,2,[80-100]
26,15,19,[20-40[
85,0,2,[80-100]
74,40,3,[60-80[
59,40,8,[40-60[
9,25,30,]0-20[
39,20,13,[20-40[
44,0,11,[40-60[
23,43,21,[20-40[
85,67,1,[80-100]
82,52,1,[80-100]
8,47,39,]0-20[
29,37,18,[20-40[
37,75,13,[20-40[
84,66,2,[80-100]
51,71,10,[40-60[
17,11,30,]0-20[
66,20,5,[60-80[
52,0,11,[40-60[
93,40,0,[80-100]
87,40,1,[80-100]
45,26,11,[40-60[
50,0,9,[40-60[
21,0,26,[20-40[
3,36,45,]0-20[
34,50,15,[20-40[
32,36,14,[20-40[
67,52,6,[60-80[
47,43,11,[40-60[
38,50,15,[20-40[
10,52,34,]0-20[
67,71,4,[60-80[
69,11,4,[60-80[
74,25,3,[60-80[
21,0,22,[20-40[
57,40,6,[40-60[
4,20,44,]0-20[
65,36,6,[60-80[
42,0,14,[40-60[
56,0,9,[40-60[
54,51,8,[40-60[
21,50,25,[20-40[
62,39,4,[60-80[
46,52,12,[40-60[
73,50,3,[60-80[
20,37,24,[20-40[
56,57,10,[40-60[
67,85,5,[60-80[
57,22,9,[40-60[
2,5,49,]0-20[
86,33,1,[80-100]
0,33,46,0
0,20,52,0
0,25,43,0
0,0,52,0
0,,54,0
0,36,51,0
0,46,51,0
0,31,48,0
0,47,52,0
0,31,49,0
0,25,49,0
0,52,50,0
0,50,49,0
0,11,54,0
0,,,0
0,5,53,0
0,,53,0
0,,,0
80,85,2,[80-100]
88,62,0,[80-100]
28,33,19,[20-40[
62,57,11,[60-80[
11,100,23,]0-20[
66,58,8,[60-80[
98,50,0,[80-100]
86,40,2,[80-100]
91,35,0,[80-100]
55,25,7,[40-60[
69,0,6,[60-80[
85,57,3,[80-100]
73,39,7,[60-80[
18,42,18,]0-20[
66,80,9,[60-80[
37,66,17,[20-40[
78,57,5,[60-80[
81,31,5,[80-100]
62,33,4,[60-80[
67,50,5,[60-80[
85,40,2,[80-100]
58,40,7,[40-60[
80,0,5,[80-100]
59,0,8,[40-60[
13,22,18,]0-20[
92,71,0,[80-100]
63,50,7,[60-80[
20,33,20,[20-40[
65,22,11,[60-80[
17,31,14,]0-20[
52,33,13,[40-60[
15,41,21,]0-20[
98,100,0,[80-100]
80,60,5,[80-100]
30,57,21,[20-40[
22,62,19,[20-40[
27,42,16,[20-40[
42,50,16,[40-60[
58,100,7,[40-60[
88,66,2,[80-100]
30,50,20,[20-40[
92,50,2,[80-100]
34,0,14,[20-40[
91,50,1,[80-100]
77,0,2,[60-80[
93,57,1,[80-100]
5,39,25,]0-20[
42,42,16,[40-60[
89,80,0,[80-100]
100,66,,[80-100]
81,57,3,[80-100]
35,21,11,[20-40[
52,23,9,[40-60[
77,50,5,[60-80[
21,40,19,[20-40[
70,40,5,[60-80[
41,0,17,[40-60[
90,66,2,[80-100]
52,33,12,[40-60[
71,42,6,[60-80[
89,50,2,[80-100]
13,33,20,]0-20[
60,11,9,[60-80[
21,36,16,[20-40[
33,33,12,[20-40[
93,58,0,[80-100]
24,0,13,[20-40[
80,60,5,[80-100]
69,85,4,[60-80[
78,75,3,[60-80[
79,42,2,[60-80[
96,71,0,[80-100]
78,100,4,[60-80[
66,58,8,[60-80[
76,50,7,[60-80[
67,50,4,[60-80[
49,21,11,[40-60[
78,25,4,[60-80[
50,0,11,[40-60[
80,42,3,[80-100]
83,39,5,[80-100]
69,42,7,[60-80[
60,80,10,[60-80[
85,66,3,[80-100]
15,28,21,]0-20[
52,21,6,[40-60[
12,16,16,]0-20[
68,50,6,[60-80[
74,40,6,[60-80[
35,40,13,[20-40[
22,0,17,[20-40[
41,33,13,[40-60[
2,22,23,]0-20[
46,57,14,[40-60[
3,25,21,]0-20[
31,33,14,[20-40[
82,33,2,[80-100]
38,47,12,[20-40[
68,44,5,[60-80[
85,58,3,[80-100]
3,0,21,]0-20[
83,60,3,[80-100]
13,57,23,]0-20[
19,50,19,]0-20[
76,38,6,[60-80[
46,57,14,[40-60[
21,100,19,[20-40[
26,58,17,[20-40[
75,50,6,[60-80[
67,40,7,[60-80[
28,0,15,[20-40[
50,25,8,[40-60[
26,0,16,[20-40[
71,57,5,[60-80[
71,39,8,[60-80[
77,42,5,[60-80[
74,80,9,[60-80[
82,66,4,[80-100]
79,57,3,[60-80[
68,31,4,[60-80[
49,26,8,[40-60[
80,50,5,[80-100]
86,40,3,[80-100]
27,30,18,[20-40[
82,0,2,[80-100]
57,33,9,[40-60[
50,33,11,[40-60[
60,42,10,[60-80[
49,25,14,[40-60[
81,33,2,[80-100]
29,0,17,[20-40[
26,42,13,[20-40[
55,33,9,[40-60[
77,58,4,[60-80[
50,25,8,[40-60[
62,60,10,[60-80[
31,71,16,[20-40[
33,62,13,[20-40[
97,52,,[80-100]
92,64,1,[80-100]
38,100,14,[20-40[
28,58,21,[20-40[
58,50,11,[40-60[
62,20,8,[60-80[
63,28,9,[60-80[
69,37,7,[60-80[
31,0,16,[20-40[
8,42,22,]0-20[
6,39,25,]0-20[
20,42,20,[20-40[
35,80,17,[20-40[
90,66,4,[80-100]
71,57,6,[60-80[
42,26,10,[40-60[
59,23,8,[40-60[
22,50,18,[20-40[
39,40,17,[20-40[
33,40,15,[20-40[
65,0,5,[60-80[
73,33,8,[60-80[
67,44,5,[60-80[
65,57,7,[60-80[
60,50,7,[60-80[
11,33,19,]0-20[
18,0,17,]0-20[
10,31,18,]0-20[
9,33,22,]0-20[
46,41,14,[40-60[
24,0,15,[20-40[
2,60,25,]0-20[
20,57,18,[20-40[
24,50,21,[20-40[
29,33,13,[20-40[
82,64,7,[80-100]
20,100,19,[20-40[
7,58,23,]0-20[
90,50,2,[80-100]
5,20,22,]0-20[
59,21,7,[40-60[
93,37,,[80-100]
38,0,17,[20-40[
71,57,6,[60-80[
74,39,7,[60-80[
85,57,1,[80-100]
65,80,12,[60-80[
80,66,6,[80-100]
76,57,5,[60-80[
89,36,1,[80-100]
34,13,8,[20-40[
63,50,9,[60-80[
93,40,1,[80-100]
92,40,2,[80-100]
43,0,11,[40-60[
76,33,2,[60-80[
90,33,2,[80-100]
4,42,23,]0-20[
69,50,6,[60-80[
86,66,3,[80-100]
48,0,13,[40-60[
93,47,1,[80-100]
91,44,0,[80-100]
11,41,23,]0-20[
38,25,12,[20-40[
36,60,14,[20-40[
5,57,23,]0-20[
30,50,17,[20-40[
59,42,12,[40-60[
74,64,8,[60-80[
47,100,14,[40-60[
57,58,10,[40-60[
54,50,10,[40-60[
14,10,20,]0-20[
88,42,1,[80-100]
8,12,21,]0-20[
69,0,9,[60-80[
82,42,3,[80-100]
51,39,9,[40-60[
19,42,22,]0-20[
98,80,,[80-100]
94,66,1,[80-100]
67,57,9,[60-80[
73,36,3,[60-80[
72,13,5,[60-80[
74,50,8,[60-80[
93,40,1,[80-100]
7,30,20,]0-20[
48,0,12,[40-60[
44,33,14,[40-60[
42,33,11,[40-60[
98,71,0,[80-100]
58,25,7,[40-60[
38,33,17,[20-40[
10,0,20,]0-20[
77,47,5,[60-80[
17,44,20,]0-20[
53,41,12,[40-60[
75,50,4,[60-80[
53,60,14,[40-60[
38,57,18,[20-40[
30,62,19,[20-40[
18,33,21,]0-20[
53,50,9,[40-60[
92,100,1,[80-100]
86,58,3,[80-100]
13,50,20,]0-20[
71,40,5,[60-80[
31,14,15,[20-40[
43,25,15,[40-60[
35,0,13,[20-40[
65,42,6,[60-80[
67,39,8,[60-80[
29,42,21,[20-40[
99,80,,[80-100]
2,66,24,]0-20[
34,42,17,[20-40[
88,31,1,[80-100]
28,20,12,[20-40[
35,50,17,[20-40[
65,40,8,[60-80[
36,40,13,[20-40[
60,0,7,[60-80[
39,0,16,[20-40[
37,22,13,[20-40[
52,57,8,[40-60[
50,25,10,[40-60[
82,33,3,[80-100]
15,0,19,]0-20[
50,42,8,[40-60[
85,44,3,[80-100]
3,41,24,]0-20[
62,25,5,[60-80[
13,60,20,]0-20[
22,57,18,[20-40[
38,75,10,[20-40[
3,33,25,]0-20[
29,50,17,[20-40[
15,100,23,]0-20[
72,66,5,[60-80[
68,50,5,[60-80[
77,20,5,[60-80[
84,35,0,[80-100]
48,25,10,[40-60[
23,0,18,[20-40[
80,57,3,[80-100]
63,39,13,[60-80[
8,42,22,]0-20[
49,80,10,[40-60[
47,66,9,[40-60[
67,42,6,[60-80[
84,31,1,[80-100]
6,6,16,]0-20[
6,50,23,]0-20[
67,40,7,[60-80[
81,50,6,[80-100]
24,0,16,[20-40[
80,33,6,[80-100]
42,22,14,[40-60[
58,57,8,[40-60[
48,25,9,[40-60[
94,33,0,[80-100]
95,44,0,[80-100]
19,47,14,]0-20[
19,44,20,]0-20[
60,50,9,[60-80[
92,50,1,[80-100]
80,60,6,[80-100]
73,71,7,[60-80[
84,75,2,[80-100]
82,42,3,[80-100]
59,50,9,[40-60[
97,100,0,[80-100]
49,58,12,[40-60[
24,50,18,[20-40[
37,30,10,[20-40[
41,21,15,[40-60[
21,37,18,[20-40[
28,0,20,[20-40[
26,42,15,[20-40[
75,39,4,[60-80[
82,57,6,[80-100]
6,80,23,]0-20[
7,66,22,]0-20[
10,28,23,]0-20[
90,36,1,[80-100]
88,43,2,[80-100]
78,50,2,[60-80[
47,40,16,[40-60[
51,40,8,[40-60[
25,0,15,[20-40[
7,0,23,]0-20[
49,44,9,[40-60[
43,42,15,[40-60[
27,50,17,[20-40[
94,66,0,[80-100]
19,0,19,]0-20[
27,42,14,[20-40[
82,55,4,[80-100]
5,41,23,]0-20[
38,0,12,[20-40[
28,60,18,[20-40[
0,57,25,0
0,50,25,0
0,33,25,0
0,50,24,0
0,100,24,0
0,58,25,0
0,50,25,0
0,10,23,0
0,,23,0
0,12,22,0
0,,25,0
0,42,23,0
0,39,26,0
0,42,24,0
0,80,24,0
0,66,24,0
0,28,23,0
0,15,19,0
0,6,17,0
0,50,25,0
0,40,25,0
0,30,22,0
0,0,24,0
0,,23,0
0,22,23,0
0,28,23,0
0,25,23,0
0,33,24,0
0,,24,0
0,31,19,0
0,33,25,0
0,41,25,0
0,,23,0
0,60,25,0
59,56,7,[40-60[
87,53,0,[80-100]
23,0,19,[20-40[
82,0,2,[80-100]
79,54,2,[60-80[
51,15,7,[40-60[
74,41,4,[60-80[
32,47,12,[20-40[
14,33,23,]0-20[
75,0,4,[60-80[
98,100,0,[80-100]
29,61,16,[20-40[
81,38,1,[80-100]
6,56,27,]0-20[
96,,0,[80-100]
80,,2,[80-100]
17,20,20,]0-20[
37,16,14,[20-40[
74,55,4,[60-80[
5,,33,]0-20[
67,,5,[60-80[
59,63,4,[40-60[
20,47,23,[20-40[
18,0,23,]0-20[
80,0,1,[80-100]
74,61,3,[60-80[
2,15,32,]0-20[
12,32,22,]0-20[
22,47,16,[20-40[
76,33,3,[60-80[
74,0,5,[60-80[
56,100,6,[40-60[
66,66,4,[60-80[
74,38,2,[60-80[
23,54,17,[20-40[
17,,22,]0-20[
72,,3,[60-80[
72,20,3,[60-80[
51,16,9,[40-60[
9,44,31,]0-20[
82,,2,[80-100]
75,,3,[60-80[
20,47,19,[20-40[
25,50,14,[20-40[
37,0,12,[20-40[
67,0,5,[60-80[
13,38,23,]0-20[
96,50,0,[80-100]
33,34,10,[20-40[
38,47,11,[20-40[
41,33,11,[40-60[
60,0,5,[60-80[
75,100,3,[60-80[
49,61,11,[40-60[
9,29,28,]0-20[
98,70,0,[80-100]
43,,11,[40-60[
67,,3,[60-80[
70,20,4,[60-80[
16,8,24,]0-20[
61,55,5,[60-80[
50,,8,[40-60[
27,,18,[20-40[
50,60,9,[40-60[
33,46,15,[20-40[
67,0,6,[60-80[
5,0,32,]0-20[
45,50,8,[40-60[
12,15,28,]0-20[
24,32,15,[20-40[
40,47,12,[40-60[
38,33,13,[20-40[
20,0,21,[20-40[
24,0,18,[20-40[
43,66,9,[40-60[
53,35,7,[40-60[
39,61,13,[20-40[
43,,9,[40-60[
97,,,[80-100]
25,20,15,[20-40[
79,41,2,[60-80[
5,44,31,]0-20[
55,,7,[40-60[
3,,37,]0-20[
42,49,11,[40-60[
90,55,0,[80-100]
78,0,1,[60-80[
22,0,21,[20-40[
20,37,18,[20-40[
19,15,20,]0-20[
10,32,23,]0-20[
73,57,4,[60-80[
98,33,,[80-100]
30,0,15,[20-40[
15,0,26,]0-20[
86,66,2,[80-100]
5,32,30,]0-20[
80,59,2,[80-100]
41,,14,[40-60[
55,,8,[40-60[
83,20,1,[80-100]
94,16,0,[80-100]
100,55,,[80-100]
33,,14,[20-40[
76,,2,[60-80[
59,56,4,[40-60[
78,55,2,[60-80[
41,0,11,[40-60[
45,0,12,[40-60[
48,49,7,[40-60[
27,15,21,[20-40[
88,51,0,[80-100]
24,45,19,[20-40[
10,33,27,]0-20[
47,0,12,[40-60[
88,100,1,[80-100]
10,57,27,]0-20[
31,35,14,[20-40[
17,52,22,]0-20[
82,,1,[80-100]
76,,3,[60-80[
36,20,14,[20-40[
81,41,3,[80-100]
49,44,7,[40-60[
26,,17,[20-40[
26,,19,[20-40[
89,64,0,[80-100]
13,43,24,]0-20[
2,0,34,]0-20[
89,0,0,[80-100]
26,44,16,[20-40[
59,15,5,[40-60[
66,41,4,[60-80[
28,52,16,[20-40[
44,33,11,[40-60[
73,0,4,[60-80[
69,0,4,[60-80[
7,57,30,]0-20[
7,29,27,]0-20[
17,52,23,]0-20[
14,,24,]0-20[
36,,14,[20-40[
83,20,2,[80-100]
53,16,8,[40-60[
59,55,6,[40-60[
15,,24,]0-20[
42,,11,[40-60[
11,46,21,]0-20[
78,55,2,[60-80[
45,0,12,[40-60[
64,0,5,[60-80[
87,52,2,[80-100]
90,55,1,[80-100]
92,51,0,[80-100]
44,50,9,[40-60[
98,33,,[80-100]
78,0,2,[60-80[
39,100,13,[20-40[
8,57,28,]0-20[
42,32,11,[40-60[
68,70,4,[60-80[
31,,16,[20-40[
93,,0,[80-100]
55,20,6,[40-60[
88,41,1,[80-100]
38,44,12,[20-40[
51,,9,[40-60[
45,,9,[40-60[
12,46,22,]0-20[
4,43,26,]0-20[
24,0,21,[20-40[
59,0,8,[40-60[
43,55,10,[40-60[
86,40,1,[80-100]
19,32,19,]0-20[
97,59,0,[80-100]
66,33,6,[60-80[
11,0,28,]0-20[
7,0,32,]0-20[
13,61,27,]0-20[
51,35,8,[40-60[
84,61,1,[80-100]
78,,2,[60-80[
44,,11,[40-60[
43,20,10,[40-60[
27,16,15,[20-40[
59,44,5,[40-60[
31,,13,[20-40[
48,,9,[40-60[
31,47,19,[20-40[
47,53,7,[40-60[
16,0,25,]0-20[
8,0,28,]0-20[
45,50,10,[40-60[
31,15,14,[20-40[
67,51,3,[60-80[
29,52,14,[20-40[
21,33,17,[20-40[
94,0,0,[80-100]
46,100,10,[40-60[
54,61,10,[40-60[
66,35,4,[60-80[
99,70,0,[80-100]
26,,17,[20-40[
64,,4,[60-80[
45,20,11,[40-60[
53,16,7,[40-60[
20,44,21,[20-40[
14,,21,]0-20[
28,,15,[20-40[
0,46,33,0
0,43,32,0
0,,36,0
0,,39,0
0,37,31,0
0,15,33,0
0,32,31,0
0,45,33,0
0,33,38,0
0,,38,0
0,,39,0
0,57,36,0
0,29,37,0
0,52,37,0
0,,39,0
0,,37,0
0,20,39,0
0,8,38,0
0,44,39,0
0,,39,0
0,,40,0
31,12,9,[20-40[
10,,46,]0-20[
27,0,28,[20-40[
16,0,36,]0-20[
18,,36,]0-20[
91,0,,[80-100]
39,0,12,[20-40[
63,25,7,[60-80[
74,50,6,[60-80[
97,51,,[80-100]
18,23,28,]0-20[
4,,40,]0-20[
33,,27,[20-40[
20,10,33,[20-40[
3,0,36,]0-20[
30,,21,[20-40[
37,0,22,[20-40[
36,0,11,[20-40[
70,0,8,[60-80[
45,0,15,[40-60[
76,0,8,[60-80[
74,25,6,[60-80[
59,50,19,[40-60[
38,43,15,[20-40[
84,30,1,[80-100]
95,,,[80-100]
78,,3,[60-80[
30,10,25,[20-40[
92,37,,[80-100]
59,,10,[40-60[
25,0,30,[20-40[
8,0,35,]0-20[
99,0,,[80-100]
26,0,21,[20-40[
9,0,30,]0-20[
41,25,21,[40-60[
37,50,25,[20-40[
49,46,10,[40-60[
84,30,0,[80-100]
8,,37,]0-20[
48,,6,[40-60[
95,30,,[80-100]
68,25,12,[60-80[
10,,31,]0-20[
49,0,22,[40-60[
24,0,36,[20-40[
38,0,10,[20-40[
8,,43,]0-20[
76,0,1,[60-80[
82,50,,[80-100]
92,50,,[80-100]
36,43,17,[20-40[
12,38,29,]0-20[
96,,,[80-100]
54,,25,[40-60[
17,5,21,]0-20[
82,12,,[80-100]
20,,31,[20-40[
7,0,34,]0-20[
32,0,23,[20-40[
49,0,16,[40-60[
37,0,11,[20-40[
85,0,3,[80-100]
12,25,30,]0-20[
69,50,10,[60-80[
44,48,10,[40-60[
60,46,4,[60-80[
50,,6,[40-60[
43,,25,[40-60[
78,30,3,[60-80[
75,37,6,[60-80[
90,,,[80-100]
48,0,21,[40-60[
38,0,21,[20-40[
91,0,,[80-100]
63,0,7,[60-80[
23,0,24,[20-40[
87,75,,[80-100]
32,0,26,[20-40[
5,29,30,]0-20[
9,23,38,]0-20[
21,,26,[20-40[
74,,3,[60-80[
85,15,8,[80-100]
38,12,12,[20-40[
35,,23,[20-40[
36,0,12,[20-40[
30,0,19,[20-40[
91,0,1,[80-100]
57,0,17,[40-60[
5,,43,]0-20[
7,0,28,]0-20[
78,50,7,[60-80[
44,31,12,[40-60[
15,23,19,]0-20[
60,,6,[60-80[
30,,25,[20-40[
30,20,25,[20-40[
86,37,1,[80-100]
89,,3,[80-100]
8,0,37,]0-20[
54,0,17,[40-60[
87,0,2,[80-100]
30,0,26,[20-40[
10,,45,]0-20[
43,25,9,[40-60[
3,0,29,]0-20[
41,43,12,[40-60[
48,46,11,[40-60[
96,,,[80-100]
68,,10,[60-80[
33,15,26,[20-40[
92,37,,[80-100]
23,,32,[20-40[
45,0,16,[40-60[
34,0,18,[20-40[
24,0,21,[20-40[
66,0,5,[60-80[
38,0,21,[20-40[
96,75,,[80-100]
26,50,29,[20-40[
90,51,,[80-100]
37,30,16,[20-40[
95,,2,[80-100]
94,,5,[80-100]
80,25,0,[80-100]
40,12,13,[40-60[
28,,26,[20-40[
13,,42,]0-20[
17,0,32,]0-20[
42,0,26,[40-60[
16,,38,]0-20[
49,0,13,[40-60[
3,,32,]0-20[
32,0,19,[20-40[
10,43,25,]0-20[
46,23,1,[40-60[
38,,33,[20-40[
79,,2,[60-80[
77,20,5,[60-80[
0,0,40,0
0,,47,0
0,,50,0
0,,42,0
0,,48,0
0,,50,0
0,,48,0
0,,34,0
0,,41,0
0,29,30,0
0,23,41,0
0,,47,0
0,,47,0
0,5,41,0
