 N->U%, TraceRecall_T,  TraceRecall_NT,percentage 
43,100,99,[40-60[
47,100,100,[40-60[
84,100,84,[80-100]
18,,99,]0-20[
93,,100,[80-100]
59,89,98,[40-60[
12,92,99,]0-20[
66,100,99,[60-80[
54,100,98,[40-60[
82,100,98,[80-100]
25,100,99,[20-40[
35,92,99,[20-40[
58,100,99,[40-60[
30,50,99,[20-40[
11,16,100,]0-20[
38,,100,[20-40[
2,100,99,]0-20[
78,100,98,[60-80[
77,88,92,[60-80[
33,,99,[20-40[
87,,100,[80-100]
92,100,87,[80-100]
18,86,99,]0-20[
83,96,99,[80-100]
99,100,20,[80-100]
30,85,99,[20-40[
11,100,99,]0-20[
11,100,99,]0-20[
46,100,99,[40-60[
53,50,99,[40-60[
62,50,99,[60-80[
22,,100,[20-40[
79,100,95,[60-80[
8,100,99,]0-20[
90,88,80,[80-100]
75,100,99,[60-80[
23,,100,[20-40[
73,100,97,[60-80[
25,86,99,[20-40[
76,96,99,[60-80[
71,100,97,[60-80[
65,85,99,[60-80[
34,100,99,[20-40[
22,91,99,[20-40[
4,100,100,]0-20[
16,50,99,]0-20[
88,100,96,[80-100]
98,,100,[80-100]
92,100,93,[80-100]
61,100,99,[60-80[
92,100,76,[80-100]
34,,99,[20-40[
81,,100,[80-100]
66,89,98,[60-80[
54,100,99,[40-60[
25,74,99,[20-40[
88,100,95,[80-100]
73,75,99,[60-80[
35,100,99,[20-40[
33,91,99,[20-40[
14,100,100,]0-20[
2,50,99,]0-20[
27,16,100,[20-40[
92,,100,[80-100]
32,100,99,[20-40[
21,100,100,[20-40[
80,100,91,[80-100]
96,100,96,[80-100]
9,,100,]0-20[
15,100,99,]0-20[
34,86,99,[20-40[
97,100,92,[80-100]
81,100,96,[80-100]
82,100,98,[80-100]
85,100,96,[80-100]
27,100,99,[20-40[
76,100,97,[60-80[
19,50,99,]0-20[
8,12,100,]0-20[
77,,100,[60-80[
70,100,98,[60-80[
76,100,100,[60-80[
42,82,97,[40-60[
76,100,99,[60-80[
40,,100,[40-60[
41,94,99,[40-60[
16,81,99,]0-20[
50,95,99,[40-60[
73,100,97,[60-80[
76,75,98,[60-80[
32,100,99,[20-40[
80,100,95,[80-100]
62,100,98,[60-80[
97,100,95,[80-100]
99,100,60,[80-100]
11,,100,]0-20[
10,100,99,]0-20[
10,100,100,]0-20[
8,76,98,]0-20[
1,,99,]0-20[
97,,100,[80-100]
52,95,99,[40-60[
16,81,99,]0-20[
57,82,99,[40-60[
36,100,99,[20-40[
49,75,99,[40-60[
26,100,99,[20-40[
41,100,99,[40-60[
26,100,99,[20-40[
81,100,99,[80-100]
16,16,100,]0-20[
60,,100,[60-80[
29,100,99,[20-40[
22,100,100,[20-40[
92,100,72,[80-100]
73,,99,[60-80[
45,,100,[40-60[
89,100,93,[80-100]
89,100,97,[80-100]
61,96,99,[60-80[
73,100,97,[60-80[
10,62,99,]0-20[
4,100,99,]0-20[
99,100,53,[80-100]
79,100,92,[60-80[
73,100,99,[60-80[
50,25,99,[40-60[
97,,100,[80-100]
62,100,99,[60-80[
10,100,100,]0-20[
40,79,98,[40-60[
69,,99,[60-80[
7,,100,]0-20[
22,93,99,[20-40[
32,87,99,[20-40[
70,96,98,[60-80[
68,100,97,[60-80[
81,83,98,[80-100]
95,100,94,[80-100]
10,100,99,]0-20[
16,100,99,]0-20[
61,50,99,[60-80[
78,50,98,[60-80[
51,,100,[40-60[
56,100,99,[40-60[
93,100,93,[80-100]
27,81,98,[20-40[
66,,99,[60-80[
70,,100,[60-80[
40,88,99,[40-60[
80,94,98,[80-100]
18,92,99,]0-20[
5,83,99,]0-20[
75,85,98,[60-80[
71,100,99,[60-80[
83,92,95,[80-100]
56,100,98,[40-60[
90,100,98,[80-100]
74,25,100,[60-80[
7,,100,]0-20[
0,100,99,0
0,100,100,0
0,76,99,0
0,,99,0
0,,100,0
0,93,99,0
0,81,99,0
0,74,99,0
0,83,99,0
0,62,99,0
0,100,99,0
0,91,99,0
0,100,100,0
0,50,99,0
0,,,0
0,12,100,0
0,,100,0
0,,,0
25,100,100,[20-40[
89,100,100,[80-100]
13,100,100,]0-20[
83,100,100,[80-100]
35,100,100,[20-40[
34,100,100,[20-40[
89,100,80,[80-100]
78,100,87,[60-80[
58,66,86,[40-60[
12,100,97,]0-20[
34,,100,[20-40[
20,100,97,[20-40[
42,100,100,[40-60[
29,100,100,[20-40[
39,100,100,[20-40[
15,100,100,]0-20[
19,100,100,]0-20[
84,100,66,[80-100]
53,100,100,[40-60[
17,100,100,]0-20[
37,100,100,[20-40[
60,100,100,[60-80[
6,,93,]0-20[
52,,100,[40-60[
2,100,100,]0-20[
12,100,100,]0-20[
23,100,100,[20-40[
10,100,100,]0-20[
67,,100,[60-80[
11,100,100,]0-20[
79,100,94,[60-80[
80,100,100,[80-100]
19,,100,]0-20[
21,100,100,[20-40[
72,100,100,[60-80[
42,100,100,[40-60[
74,100,93,[60-80[
76,100,100,[60-80[
78,100,100,[60-80[
40,100,100,[40-60[
84,100,100,[80-100]
36,50,96,[20-40[
83,100,66,[80-100]
28,100,97,[20-40[
96,,100,[80-100]
32,100,94,[20-40[
2,100,100,]0-20[
3,100,100,]0-20[
93,100,100,[80-100]
1,100,100,]0-20[
56,100,94,[40-60[
68,83,93,[60-80[
62,100,78,[60-80[
99,100,100,[80-100]
64,100,100,[60-80[
99,100,37,[80-100]
90,,37,[80-100]
21,,100,[20-40[
77,100,100,[60-80[
50,100,87,[40-60[
6,50,100,]0-20[
61,100,100,[60-80[
23,,100,[20-40[
5,100,100,]0-20[
4,100,100,]0-20[
18,100,100,]0-20[
46,,100,[40-60[
87,100,100,[80-100]
69,100,100,[60-80[
54,100,100,[40-60[
80,100,90,[80-100]
57,100,100,[40-60[
57,100,100,[40-60[
86,100,100,[80-100]
88,100,100,[80-100]
49,66,96,[40-60[
54,80,92,[40-60[
56,100,86,[40-60[
49,,100,[40-60[
30,100,94,[20-40[
87,100,100,[80-100]
4,100,100,]0-20[
54,100,100,[40-60[
36,100,100,[20-40[
74,100,94,[60-80[
47,80,100,[40-60[
96,100,28,[80-100]
98,100,,[80-100]
39,100,100,[20-40[
66,100,85,[60-80[
56,,85,[40-60[
13,,100,]0-20[
51,100,100,[40-60[
74,100,81,[60-80[
9,50,100,]0-20[
3,100,100,]0-20[
57,,100,[40-60[
35,100,96,[20-40[
21,100,100,[20-40[
22,100,100,[20-40[
55,,100,[40-60[
71,100,100,[60-80[
32,100,100,[20-40[
12,100,100,]0-20[
84,100,100,[80-100]
6,100,100,]0-20[
44,100,100,[40-60[
24,100,100,[20-40[
22,100,100,[20-40[
30,100,100,[20-40[
51,50,96,[40-60[
8,100,97,]0-20[
26,,100,[20-40[
47,100,94,[40-60[
89,100,100,[80-100]
77,100,100,[60-80[
35,100,100,[20-40[
31,100,100,[20-40[
1,100,100,]0-20[
64,75,81,[60-80[
2,66,100,]0-20[
61,100,100,[60-80[
25,100,100,[20-40[
79,100,87,[60-80[
6,,94,]0-20[
36,,100,[20-40[
34,100,100,[20-40[
12,100,97,]0-20[
25,50,100,[20-40[
42,100,100,[40-60[
67,,100,[60-80[
11,100,100,]0-20[
27,100,100,[20-40[
53,100,100,[40-60[
22,,100,[20-40[
9,100,100,]0-20[
1,100,100,]0-20[
14,100,100,]0-20[
35,100,100,[20-40[
64,100,100,[60-80[
16,100,100,]0-20[
38,100,100,[20-40[
95,100,100,[80-100]
33,75,100,[20-40[
96,100,18,[80-100]
98,100,,[80-100]
62,,100,[60-80[
83,100,75,[80-100]
1,100,100,]0-20[
95,100,100,[80-100]
99,100,100,[80-100]
82,100,100,[80-100]
26,100,100,[20-40[
6,75,100,]0-20[
25,100,100,[20-40[
23,100,100,[20-40[
88,100,100,[80-100]
4,100,100,]0-20[
65,,78,[60-80[
4,,100,]0-20[
68,100,100,[60-80[
75,100,80,[60-80[
19,50,100,]0-20[
87,100,100,[80-100]
47,,100,[40-60[
7,100,100,]0-20[
64,100,92,[60-80[
18,100,100,]0-20[
76,,100,[60-80[
47,100,100,[40-60[
83,100,100,[80-100]
78,100,100,[60-80[
7,100,100,]0-20[
67,100,100,[60-80[
89,100,100,[80-100]
22,100,100,[20-40[
53,100,100,[40-60[
36,100,97,[20-40[
69,50,75,[60-80[
39,100,96,[20-40[
87,,100,[80-100]
46,100,96,[40-60[
82,100,100,[80-100]
37,100,100,[20-40[
5,100,100,]0-20[
38,100,100,[20-40[
11,100,100,]0-20[
87,100,85,[80-100]
3,66,100,]0-20[
50,100,100,[40-60[
56,100,100,[40-60[
29,100,96,[20-40[
77,,76,[60-80[
51,,100,[40-60[
48,100,100,[40-60[
34,100,97,[20-40[
20,50,97,[20-40[
38,100,100,[20-40[
38,,100,[20-40[
73,100,86,[60-80[
4,100,100,]0-20[
39,100,100,[20-40[
29,,100,[20-40[
98,100,100,[80-100]
63,100,100,[60-80[
7,100,100,]0-20[
17,100,100,]0-20[
19,100,100,]0-20[
28,100,100,[20-40[
53,100,100,[40-60[
50,100,100,[40-60[
95,100,50,[80-100]
76,100,73,[60-80[
42,100,86,[40-60[
25,,100,[20-40[
21,100,97,[20-40[
87,100,100,[80-100]
45,100,100,[40-60[
3,100,100,]0-20[
17,100,100,]0-20[
26,100,100,[20-40[
64,100,84,[60-80[
28,83,96,[20-40[
14,100,100,]0-20[
69,100,100,[60-80[
77,100,83,[60-80[
34,,90,[20-40[
88,,100,[80-100]
21,100,100,[20-40[
64,100,93,[60-80[
56,100,86,[40-60[
24,100,100,[20-40[
79,,100,[60-80[
85,100,90,[80-100]
81,100,100,[80-100]
12,100,100,]0-20[
63,,100,[60-80[
60,100,100,[60-80[
89,100,100,[80-100]
16,100,100,]0-20[
48,100,95,[40-60[
83,100,100,[80-100]
78,100,100,[60-80[
46,100,100,[40-60[
81,100,100,[80-100]
89,100,83,[80-100]
26,33,100,[20-40[
80,100,78,[80-100]
93,,100,[80-100]
82,100,85,[80-100]
25,100,100,[20-40[
27,100,100,[20-40[
71,100,100,[60-80[
24,100,100,[20-40[
94,100,36,[80-100]
32,75,100,[20-40[
42,75,95,[40-60[
42,100,100,[40-60[
80,100,100,[80-100]
25,100,96,[20-40[
68,,89,[60-80[
30,,100,[20-40[
97,100,100,[80-100]
92,100,50,[80-100]
13,50,100,]0-20[
83,100,100,[80-100]
90,,100,[80-100]
59,100,88,[40-60[
99,100,,[80-100]
42,100,100,[40-60[
96,,100,[80-100]
73,100,100,[60-80[
98,100,100,[80-100]
1,100,100,]0-20[
71,100,100,[60-80[
63,100,100,[60-80[
94,100,100,[80-100]
15,100,100,]0-20[
22,100,100,[20-40[
46,80,96,[40-60[
16,,100,]0-20[
46,100,93,[40-60[
46,,100,[40-60[
46,100,93,[40-60[
58,100,100,[40-60[
52,100,100,[40-60[
16,100,100,]0-20[
14,100,100,]0-20[
53,100,92,[40-60[
70,100,92,[60-80[
60,100,100,[60-80[
91,100,100,[80-100]
27,100,100,[20-40[
20,100,97,[20-40[
12,,93,]0-20[
26,,100,[20-40[
34,100,100,[20-40[
44,100,96,[40-60[
19,50,100,]0-20[
17,100,100,]0-20[
86,,100,[80-100]
16,100,100,]0-20[
39,100,100,[20-40[
82,100,100,[80-100]
21,,100,[20-40[
33,100,100,[20-40[
55,100,100,[40-60[
25,100,100,[20-40[
30,100,100,[20-40[
85,100,100,[80-100]
70,100,100,[60-80[
14,100,100,]0-20[
1,100,100,]0-20[
59,100,100,[40-60[
5,,100,]0-20[
99,100,,[80-100]
41,,100,[40-60[
85,100,75,[80-100]
97,100,100,[80-100]
99,100,,[80-100]
94,100,100,[80-100]
21,100,100,[20-40[
99,100,,[80-100]
90,100,55,[80-100]
13,100,100,]0-20[
24,100,100,[20-40[
53,100,100,[40-60[
30,100,100,[20-40[
28,,92,[20-40[
5,,100,]0-20[
89,100,100,[80-100]
61,100,100,[60-80[
84,100,87,[80-100]
71,100,100,[60-80[
50,,100,[40-60[
65,100,87,[60-80[
45,100,100,[40-60[
2,100,100,]0-20[
97,,100,[80-100]
72,100,100,[60-80[
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,50,100,0
0,,100,0
0,100,97,0
0,,100,0
0,100,98,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,75,100,0
0,66,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,,94,0
0,,100,0
0,100,100,0
0,100,100,0
0,50,100,0
0,100,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,,100,0
0,100,100,0
28,96,97,[20-40[
18,97,94,]0-20[
78,,97,[60-80[
80,,100,[80-100]
69,96,76,[60-80[
8,37,97,]0-20[
23,87,98,[20-40[
68,91,81,[60-80[
17,100,100,]0-20[
9,,100,]0-20[
77,,100,[60-80[
57,100,95,[40-60[
28,100,96,[20-40[
44,100,95,[40-60[
79,,100,[60-80[
82,,100,[80-100]
39,100,100,[20-40[
47,100,99,[40-60[
53,100,98,[40-60[
39,,100,[20-40[
62,,100,[60-80[
40,97,95,[40-60[
23,94,93,[20-40[
65,,98,[60-80[
99,,100,[80-100]
59,100,86,[40-60[
16,37,97,]0-20[
68,100,97,[60-80[
86,95,61,[80-100]
27,100,100,[20-40[
65,,100,[60-80[
98,,100,[80-100]
74,100,91,[60-80[
48,100,94,[40-60[
45,100,95,[40-60[
91,,100,[80-100]
57,,100,[40-60[
82,100,100,[80-100]
96,100,66,[80-100]
5,80,99,]0-20[
93,,100,[80-100]
2,,100,]0-20[
98,100,14,[80-100]
85,100,54,[80-100]
13,,100,]0-20[
64,,100,[60-80[
58,90,81,[40-60[
88,100,52,[80-100]
20,93,99,[20-40[
27,90,95,[20-40[
49,100,100,[40-60[
86,,100,[80-100]
31,,100,[20-40[
21,100,97,[20-40[
45,100,96,[40-60[
85,100,81,[80-100]
82,,100,[80-100]
93,,100,[80-100]
30,100,100,[20-40[
42,100,100,[40-60[
28,80,98,[20-40[
17,,100,]0-20[
62,,100,[60-80[
39,97,97,[20-40[
42,97,90,[40-60[
72,,95,[60-80[
24,,100,[20-40[
60,96,83,[60-80[
33,37,96,[20-40[
75,100,97,[60-80[
10,90,97,]0-20[
84,100,100,[80-100]
61,,100,[60-80[
88,,96,[80-100]
66,100,94,[60-80[
10,100,97,]0-20[
84,100,83,[80-100]
5,,100,]0-20[
50,,100,[40-60[
61,100,100,[60-80[
20,100,100,[20-40[
68,100,96,[60-80[
6,,100,]0-20[
78,,100,[60-80[
54,97,95,[40-60[
90,97,48,[80-100]
11,,99,]0-20[
96,,100,[80-100]
71,96,85,[60-80[
4,37,97,]0-20[
82,88,94,[80-100]
50,90,93,[40-60[
47,100,100,[40-60[
10,,100,]0-20[
36,,100,[20-40[
2,100,97,]0-20[
18,100,97,]0-20[
57,100,95,[40-60[
64,,100,[60-80[
65,,100,[60-80[
82,100,100,[80-100]
58,100,100,[40-60[
56,100,98,[40-60[
95,,100,[80-100]
44,,100,[40-60[
11,93,98,]0-20[
86,100,37,[80-100]
83,,95,[80-100]
2,,100,]0-20[
90,100,21,[80-100]
78,83,80,[60-80[
65,100,98,[60-80[
95,100,40,[80-100]
5,100,100,]0-20[
43,,100,[40-60[
3,,100,]0-20[
3,100,97,]0-20[
34,100,96,[20-40[
16,100,97,]0-20[
53,,100,[40-60[
3,,100,]0-20[
37,100,100,[20-40[
93,100,90,[80-100]
42,100,98,[40-60[
33,,100,[20-40[
49,,100,[40-60[
62,97,95,[60-80[
74,100,67,[60-80[
88,,95,[80-100]
68,,100,[60-80[
92,100,45,[80-100]
62,60,87,[60-80[
58,94,98,[40-60[
12,86,97,]0-20[
58,100,100,[40-60[
51,,100,[40-60[
93,,94,[80-100]
65,100,93,[60-80[
7,100,97,]0-20[
82,100,87,[80-100]
36,,100,[20-40[
62,,100,[60-80[
34,100,100,[20-40[
34,100,100,[20-40[
72,100,97,[60-80[
45,,100,[40-60[
35,,100,[20-40[
81,97,81,[80-100]
19,94,93,]0-20[
87,,93,[80-100]
22,,100,[20-40[
80,100,56,[80-100]
41,37,95,[40-60[
5,82,99,]0-20[
88,100,65,[80-100]
96,100,84,[80-100]
44,,100,[40-60[
66,,99,[60-80[
32,100,96,[20-40[
57,100,94,[40-60[
72,100,92,[60-80[
30,,100,[20-40[
24,,100,[20-40[
8,100,100,]0-20[
26,100,100,[20-40[
15,80,99,]0-20[
62,,100,[60-80[
63,,100,[60-80[
94,100,70,[80-100]
23,94,93,[20-40[
68,,96,[60-80[
73,,100,[60-80[
81,93,65,[80-100]
61,60,92,[60-80[
35,87,98,[20-40[
11,86,97,]0-20[
62,100,100,[60-80[
89,,100,[80-100]
38,,100,[20-40[
39,100,96,[20-40[
68,100,91,[60-80[
5,100,97,]0-20[
71,,100,[60-80[
33,,100,[20-40[
61,100,100,[60-80[
11,100,100,]0-20[
42,100,98,[40-60[
80,,100,[80-100]
85,,100,[80-100]
96,100,50,[80-100]
67,100,79,[60-80[
18,,100,]0-20[
76,,100,[60-80[
68,96,83,[60-80[
22,37,96,[20-40[
81,93,96,[80-100]
59,100,91,[40-60[
1,100,100,]0-20[
93,,100,[80-100]
50,,100,[40-60[
84,100,87,[80-100]
70,100,93,[60-80[
6,100,97,]0-20[
30,,100,[20-40[
1,,100,]0-20[
88,100,100,[80-100]
15,100,100,]0-20[
7,80,99,]0-20[
16,,100,]0-20[
12,,100,]0-20[
0,93,98,0
0,94,95,0
0,,100,0
0,,100,0
0,84,96,0
0,37,97,0
0,82,99,0
0,86,98,0
0,100,100,0
0,,100,0
0,,100,0
0,100,97,0
0,100,97,0
0,100,97,0
0,,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,80,99,0
0,,100,0
0,,100,0
1,0,96,]0-20[
98,,,[80-100]
64,,100,[60-80[
36,,100,[20-40[
71,,100,[60-80[
95,,100,[80-100]
1,,100,]0-20[
4,,100,]0-20[
91,,,[80-100]
46,100,81,[40-60[
78,100,86,[60-80[
44,,100,[40-60[
49,,100,[40-60[
82,100,85,[80-100]
6,0,96,]0-20[
34,,100,[20-40[
59,,100,[40-60[
47,,100,[40-60[
77,,100,[60-80[
87,,100,[80-100]
63,,100,[60-80[
24,,100,[20-40[
97,100,,[80-100]
46,94,71,[40-60[
24,75,90,[20-40[
18,,100,]0-20[
44,,100,[40-60[
90,75,66,[80-100]
88,100,40,[80-100]
91,,100,[80-100]
56,,100,[40-60[
21,,100,[20-40[
95,,100,[80-100]
43,,100,[40-60[
46,,100,[40-60[
7,,100,]0-20[
18,,100,]0-20[
82,100,20,[80-100]
27,75,90,[20-40[
46,,100,[40-60[
41,,100,[40-60[
80,100,100,[80-100]
47,,95,[40-60[
6,,100,]0-20[
92,,,[80-100]
32,,100,[20-40[
13,,100,]0-20[
72,,100,[60-80[
35,,100,[20-40[
9,,100,]0-20[
71,,100,[60-80[
74,94,25,[60-80[
72,100,60,[60-80[
11,,100,]0-20[
53,,100,[40-60[
53,33,100,[40-60[
85,100,33,[80-100]
70,,100,[60-80[
61,,100,[60-80[
17,,100,]0-20[
49,,100,[40-60[
34,,100,[20-40[
42,,100,[40-60[
12,,100,]0-20[
73,100,86,[60-80[
87,100,60,[80-100]
58,75,66,[40-60[
55,,100,[40-60[
44,,100,[40-60[
30,75,95,[20-40[
3,0,96,]0-20[
56,,100,[40-60[
48,,100,[40-60[
75,0,25,[60-80[
44,,100,[40-60[
7,,100,]0-20[
5,,100,]0-20[
13,,100,]0-20[
81,100,88,[80-100]
67,100,33,[60-80[
58,100,84,[40-60[
78,,100,[60-80[
71,,100,[60-80[
58,75,90,[40-60[
79,100,66,[60-80[
36,,100,[20-40[
52,,100,[40-60[
64,,100,[60-80[
47,,100,[40-60[
95,,100,[80-100]
19,,100,]0-20[
43,,100,[40-60[
76,100,77,[60-80[
95,100,,[80-100]
94,100,66,[80-100]
25,,100,[20-40[
11,,100,]0-20[
90,75,0,[80-100]
71,,78,[60-80[
1,,100,]0-20[
68,,100,[60-80[
30,,100,[20-40[
19,,100,]0-20[
50,,100,[40-60[
8,,100,]0-20[
80,,80,[80-100]
41,,100,[40-60[
23,94,66,[20-40[
99,100,,[80-100]
86,,100,[80-100]
63,,100,[60-80[
73,100,100,[60-80[
13,0,96,]0-20[
43,,100,[40-60[
63,,100,[60-80[
49,0,94,[40-60[
75,,100,[60-80[
38,,100,[20-40[
49,,100,[40-60[
24,,100,[20-40[
96,100,60,[80-100]
90,100,20,[80-100]
37,100,90,[20-40[
89,,100,[80-100]
80,,100,[80-100]
53,75,93,[40-60[
25,0,96,[20-40[
94,,100,[80-100]
36,,100,[20-40[
17,,100,]0-20[
13,,100,]0-20[
7,,100,]0-20[
41,,100,[40-60[
79,,44,[60-80[
26,,100,[20-40[
18,85,80,]0-20[
81,100,87,[80-100]
89,,100,[80-100]
16,,100,]0-20[
62,66,0,[60-80[
0,0,96,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,,100,0
0,85,85,0
0,75,93,0
0,,100,0
0,,100,0
0,25,100,0
