 T->U%, TraceRecall_T,  TraceRecall_NT,percentage 
67,13,46,[60-80[
80,,53,[80-100]
94,3,45,[80-100]
40,,52,[40-60[
100,,54,[80-100]
20,34,51,[20-40[
82,7,52,[80-100]
66,13,49,[60-80[
14,38,52,]0-20[
50,12,49,[40-60[
75,12,49,[60-80[
67,19,50,[60-80[
79,14,49,[60-80[
44,,54,[40-60[
45,,53,[40-60[
67,,53,[60-80[
73,,46,[60-80[
80,20,52,[80-100]
90,6,45,[80-100]
80,,52,[80-100]
100,,54,[80-100]
95,7,51,[80-100]
57,32,52,[40-60[
99,,49,[80-100]
71,28,52,[60-80[
6,31,49,]0-20[
13,25,49,]0-20[
48,38,50,[40-60[
86,,50,[80-100]
67,,54,[60-80[
60,5,53,[60-80[
33,,53,[20-40[
73,,46,[60-80[
20,20,52,[20-40[
17,19,43,]0-20[
20,0,52,[20-40[
100,,54,[80-100]
88,2,51,[80-100]
86,3,52,[80-100]
38,19,49,[20-40[
33,42,52,[20-40[
44,6,49,[40-60[
88,,49,[80-100]
95,,51,[80-100]
93,7,50,[80-100]
44,11,54,[40-60[
60,,53,[60-80[
67,,53,[60-80[
80,,46,[80-100]
60,20,52,[60-80[
46,15,44,[40-60[
60,,52,[60-80[
100,,54,[80-100]
39,29,51,[20-40[
11,46,51,]0-20[
59,21,49,[40-60[
19,42,52,]0-20[
50,6,49,[40-60[
38,12,49,[20-40[
67,19,50,[60-80[
21,50,49,[20-40[
22,11,54,[20-40[
15,5,53,]0-20[
33,,53,[20-40[
7,33,46,]0-20[
20,20,52,[20-40[
78,3,44,[60-80[
40,0,52,[40-60[
100,,54,[80-100]
68,12,51,[60-80[
43,28,51,[40-60[
36,10,49,[20-40[
14,23,52,]0-20[
88,6,49,[80-100]
13,25,49,]0-20[
81,19,50,[80-100]
29,42,49,[20-40[
11,11,54,]0-20[
90,,53,[80-100]
67,,53,[60-80[
80,,46,[80-100]
20,20,52,[20-40[
48,11,43,[40-60[
40,0,52,[40-60[
100,,54,[80-100]
41,34,51,[40-60[
93,14,52,[80-100]
58,10,49,[40-60[
57,28,52,[40-60[
81,,49,[80-100]
38,12,49,[20-40[
57,9,50,[40-60[
43,42,49,[40-60[
89,,54,[80-100]
60,,53,[60-80[
33,,53,[20-40[
60,13,46,[60-80[
80,,53,[80-100]
14,25,43,]0-20[
40,0,52,[40-60[
100,,54,[80-100]
2,36,51,]0-20[
11,46,51,]0-20[
56,21,49,[40-60[
43,23,52,[40-60[
19,25,49,]0-20[
25,25,49,[20-40[
57,23,50,[40-60[
79,7,50,[60-80[
33,11,54,[20-40[
80,,53,[80-100]
33,,53,[20-40[
33,26,46,[20-40[
40,,53,[40-60[
43,12,43,[40-60[
20,0,52,[20-40[
100,,54,[80-100]
88,9,51,[80-100]
57,32,52,[40-60[
14,30,49,]0-20[
76,19,52,[60-80[
44,25,49,[40-60[
75,,49,[60-80[
62,28,50,[60-80[
50,21,49,[40-60[
89,,54,[80-100]
65,,53,[60-80[
33,,53,[20-40[
20,26,46,[20-40[
40,,53,[40-60[
2,25,43,]0-20[
60,0,52,[60-80[
100,,54,[80-100]
7,34,51,]0-20[
96,,52,[80-100]
68,2,49,[60-80[
86,9,53,[80-100]
19,31,49,]0-20[
38,,49,[20-40[
48,19,50,[40-60[
71,35,50,[60-80[
22,11,54,[20-40[
15,,53,]0-20[
67,,53,[60-80[
27,26,46,[20-40[
20,20,52,[20-40[
14,15,43,]0-20[
40,0,52,[40-60[
100,,54,[80-100]
73,4,51,[60-80[
21,35,52,[20-40[
86,6,49,[80-100]
52,19,52,[40-60[
69,6,49,[60-80[
38,25,49,[20-40[
43,42,50,[40-60[
7,35,49,]0-20[
67,,54,[60-80[
35,,53,[20-40[
33,,53,[20-40[
0,33,46,0
0,20,52,0
0,25,43,0
0,0,52,0
0,,54,0
0,36,51,0
0,46,51,0
0,31,48,0
0,47,52,0
0,31,49,0
0,25,49,0
0,52,50,0
0,50,49,0
0,11,54,0
0,,,0
0,5,53,0
0,,53,0
0,,,0
43,28,25,[40-60[
63,37,25,[60-80[
57,23,25,[40-60[
57,21,24,[40-60[
50,50,24,[40-60[
17,58,25,]0-20[
50,,25,[40-60[
40,,23,[40-60[
43,,23,[40-60[
50,0,22,[40-60[
100,,25,[80-100]
57,14,23,[40-60[
78,4,26,[60-80[
86,,24,[80-100]
40,20,24,[40-60[
17,66,24,]0-20[
14,28,23,]0-20[
58,5,19,[40-60[
3,6,17,]0-20[
50,,25,[40-60[
80,20,25,[80-100]
60,10,22,[60-80[
67,0,24,[60-80[
33,,23,[20-40[
67,,23,[60-80[
86,,23,[80-100]
25,25,23,[20-40[
67,33,24,[60-80[
56,,24,[40-60[
5,31,19,]0-20[
44,11,25,[40-60[
33,8,25,[20-40[
25,,23,[20-40[
60,20,25,[60-80[
29,57,25,[20-40[
75,12,25,[60-80[
67,4,25,[60-80[
93,,24,[80-100]
50,50,24,[40-60[
25,41,25,[20-40[
50,50,25,[40-60[
50,,23,[40-60[
7,,23,]0-20[
88,12,22,[80-100]
100,,25,[80-100]
14,42,23,]0-20[
35,21,26,[20-40[
14,42,24,]0-20[
40,20,24,[40-60[
83,33,24,[80-100]
14,28,23,]0-20[
26,15,19,[20-40[
30,6,17,[20-40[
50,,25,[40-60[
60,,25,[60-80[
80,,22,[80-100]
33,0,24,[20-40[
33,,23,[20-40[
67,,23,[60-80[
29,28,23,[20-40[
75,,23,[60-80[
67,,24,[60-80[
33,,24,[20-40[
37,10,19,[20-40[
44,22,25,[40-60[
83,16,25,[80-100]
50,,23,[40-60[
80,20,25,[80-100]
14,57,25,]0-20[
88,12,25,[80-100]
90,14,25,[80-100]
50,28,24,[40-60[
50,50,24,[40-60[
58,,25,[40-60[
50,50,25,[40-60[
20,10,23,[20-40[
71,,23,[60-80[
50,,22,[40-60[
100,,25,[80-100]
86,14,23,[80-100]
83,4,26,[80-100]
29,42,24,[20-40[
60,60,24,[60-80[
67,50,24,[60-80[
29,14,23,[20-40[
21,15,19,[20-40[
20,6,17,[20-40[
50,50,25,[40-60[
20,40,25,[20-40[
10,30,22,]0-20[
33,0,24,[20-40[
67,,23,[60-80[
78,,23,[60-80[
71,14,23,[60-80[
25,25,23,[20-40[
67,,24,[60-80[
44,,24,[40-60[
53,5,19,[40-60[
56,11,25,[40-60[
67,25,25,[60-80[
50,,23,[40-60[
80,,25,[80-100]
71,14,25,[60-80[
50,50,25,[40-60[
62,14,25,[60-80[
93,,24,[80-100]
50,50,24,[40-60[
58,33,25,[40-60[
50,,25,[40-60[
30,10,23,[20-40[
29,,23,[20-40[
13,12,22,]0-20[
100,,25,[80-100]
71,14,23,[60-80[
65,13,26,[60-80[
86,,24,[80-100]
40,60,24,[40-60[
33,50,24,[20-40[
29,,23,[20-40[
63,,19,[60-80[
90,,17,[80-100]
50,,25,[40-60[
40,20,25,[40-60[
10,30,22,]0-20[
67,,24,[60-80[
33,,23,[20-40[
78,,23,[60-80[
29,14,23,[20-40[
25,25,23,[20-40[
67,,24,[60-80[
33,,24,[20-40[
63,10,19,[60-80[
89,,25,[80-100]
92,,25,[80-100]
75,,23,[60-80[
20,60,25,[20-40[
57,,25,[40-60[
50,25,25,[40-60[
67,19,25,[60-80[
79,14,24,[60-80[
50,50,24,[40-60[
33,50,25,[20-40[
50,,25,[40-60[
10,10,23,]0-20[
93,,23,[80-100]
13,12,22,]0-20[
100,,25,[80-100]
57,,23,[40-60[
43,26,26,[40-60[
71,,24,[60-80[
80,,24,[80-100]
67,33,24,[60-80[
57,28,23,[40-60[
79,,19,[60-80[
3,6,17,]0-20[
50,,25,[40-60[
60,,25,[60-80[
60,10,22,[60-80[
33,0,24,[20-40[
33,,23,[20-40[
11,22,23,]0-20[
86,,23,[80-100]
25,25,23,[20-40[
67,,24,[60-80[
67,,24,[60-80[
53,15,19,[40-60[
11,33,25,]0-20[
92,8,25,[80-100]
50,,23,[40-60[
20,40,25,[20-40[
71,28,25,[60-80[
38,37,25,[20-40[
95,14,25,[80-100]
50,35,24,[40-60[
50,50,24,[40-60[
58,16,25,[40-60[
50,,25,[40-60[
50,,23,[40-60[
93,,23,[80-100]
88,0,22,[80-100]
100,,25,[80-100]
86,,23,[80-100]
78,4,26,[60-80[
43,,24,[40-60[
20,80,24,[20-40[
50,33,24,[40-60[
71,,23,[60-80[
26,15,19,[20-40[
40,3,17,[40-60[
50,,25,[40-60[
40,40,25,[40-60[
20,30,22,[20-40[
67,0,24,[60-80[
67,,23,[60-80[
78,,23,[60-80[
29,28,23,[20-40[
75,,23,[60-80[
33,,24,[20-40[
44,,24,[40-60[
42,31,19,[40-60[
33,11,25,[20-40[
33,16,25,[20-40[
75,,23,[60-80[
80,20,25,[80-100]
14,57,25,]0-20[
50,37,25,[40-60[
48,23,25,[40-60[
93,7,24,[80-100]
50,50,24,[40-60[
50,41,25,[40-60[
50,,25,[40-60[
50,10,23,[40-60[
57,,23,[40-60[
88,,22,[80-100]
100,,25,[80-100]
86,14,23,[80-100]
17,39,26,]0-20[
86,42,24,[80-100]
20,80,24,[20-40[
83,,24,[80-100]
43,14,23,[40-60[
26,,19,[20-40[
27,6,17,[20-40[
50,50,25,[40-60[
20,20,25,[20-40[
40,20,22,[40-60[
33,0,24,[20-40[
67,,23,[60-80[
56,22,23,[40-60[
14,28,23,]0-20[
50,25,23,[40-60[
67,33,24,[60-80[
67,,24,[60-80[
26,31,19,[20-40[
44,22,25,[40-60[
50,8,25,[40-60[
75,,23,[60-80[
80,,25,[80-100]
43,14,25,[40-60[
13,50,25,]0-20[
29,9,25,[20-40[
7,42,24,]0-20[
50,50,24,[40-60[
8,50,25,]0-20[
50,50,25,[40-60[
60,10,23,[60-80[
71,,23,[60-80[
50,0,22,[40-60[
100,,25,[80-100]
71,,23,[60-80[
39,30,26,[20-40[
86,,24,[80-100]
80,,24,[80-100]
83,,24,[80-100]
86,,23,[80-100]
47,10,19,[40-60[
53,3,17,[40-60[
50,50,25,[40-60[
60,20,25,[60-80[
60,10,22,[60-80[
67,,24,[60-80[
67,,23,[60-80[
67,,23,[60-80[
29,28,23,[20-40[
75,,23,[60-80[
33,33,24,[20-40[
67,,24,[60-80[
16,31,19,]0-20[
56,33,25,[40-60[
25,16,25,[20-40[
75,,23,[60-80[
60,20,25,[60-80[
57,14,25,[40-60[
88,12,25,[80-100]
90,4,25,[80-100]
64,28,24,[60-80[
50,50,24,[40-60[
42,50,25,[40-60[
50,50,25,[40-60[
10,10,23,]0-20[
36,,23,[20-40[
13,12,22,]0-20[
100,,25,[80-100]
29,28,23,[20-40[
39,21,26,[20-40[
43,42,24,[40-60[
60,20,24,[60-80[
67,33,24,[60-80[
57,14,23,[40-60[
53,5,19,[40-60[
97,,17,[80-100]
50,,25,[40-60[
60,40,25,[60-80[
90,,22,[80-100]
67,,24,[60-80[
33,,23,[20-40[
89,,23,[80-100]
29,14,23,[20-40[
25,25,23,[20-40[
33,,24,[20-40[
33,,24,[20-40[
32,10,19,[20-40[
56,22,25,[40-60[
42,25,25,[40-60[
75,,23,[60-80[
80,,25,[80-100]
86,28,25,[80-100]
25,37,25,[20-40[
14,19,25,]0-20[
86,,24,[80-100]
50,50,24,[40-60[
8,58,25,]0-20[
50,,25,[40-60[
80,,23,[80-100]
50,,23,[40-60[
75,,22,[60-80[
100,,25,[80-100]
57,14,23,[40-60[
78,,26,[60-80[
29,42,24,[20-40[
80,60,24,[80-100]
33,50,24,[20-40[
29,14,23,[20-40[
84,5,19,[80-100]
67,3,17,[60-80[
50,50,25,[40-60[
80,,25,[80-100]
90,10,22,[80-100]
33,0,24,[20-40[
67,,23,[60-80[
78,,23,[60-80[
43,14,23,[40-60[
50,25,23,[40-60[
67,33,24,[60-80[
67,,24,[60-80[
32,26,19,[20-40[
67,22,25,[60-80[
42,8,25,[40-60[
50,,23,[40-60[
20,40,25,[20-40[
0,57,25,0
0,50,25,0
0,33,25,0
0,50,24,0
0,100,24,0
0,58,25,0
0,50,25,0
0,10,23,0
0,,23,0
0,12,22,0
0,,25,0
0,42,23,0
0,39,26,0
0,42,24,0
0,80,24,0
0,66,24,0
0,28,23,0
0,15,19,0
0,6,17,0
0,50,25,0
0,40,25,0
0,30,22,0
0,0,24,0
0,,23,0
0,22,23,0
0,28,23,0
0,25,23,0
0,33,24,0
0,,24,0
0,31,19,0
0,33,25,0
0,41,25,0
0,,23,0
0,60,25,0
95,,34,[80-100]
25,35,32,[20-40[
100,,36,[80-100]
100,,39,[80-100]
19,35,31,]0-20[
20,15,33,[20-40[
79,16,32,[60-80[
48,30,34,[40-60[
33,,39,[20-40[
100,,38,[80-100]
100,,39,[80-100]
29,38,36,[20-40[
39,16,37,[20-40[
14,52,37,]0-20[
70,,40,[60-80[
17,8,38,]0-20[
22,22,39,[20-40[
80,7,34,[80-100]
42,22,33,[40-60[
100,,36,[80-100]
100,,39,[80-100]
15,27,31,]0-20[
10,10,33,]0-20[
30,18,31,[20-40[
88,4,35,[80-100]
67,,39,[60-80[
100,,38,[80-100]
100,,39,[80-100]
33,52,36,[20-40[
39,16,37,[20-40[
32,36,37,[20-40[
80,10,40,[80-100]
33,8,38,[20-40[
67,11,39,[60-80[
51,27,34,[40-60[
13,36,32,]0-20[
100,,36,[80-100]
100,,39,[80-100]
73,11,33,[60-80[
10,10,33,]0-20[
5,32,31,]0-20[
17,40,33,]0-20[
33,33,38,[20-40[
100,,38,[80-100]
100,,39,[80-100]
29,47,36,[20-40[
19,19,37,]0-20[
91,9,38,[80-100]
90,,40,[80-100]
8,8,38,]0-20[
89,,39,[80-100]
42,35,33,[40-60[
17,38,32,]0-20[
100,,36,[80-100]
100,,39,[80-100]
53,13,33,[40-60[
85,,37,[80-100]
35,30,31,[20-40[
76,21,35,[60-80[
33,33,38,[20-40[
100,,38,[80-100]
100,,39,[80-100]
5,57,36,]0-20[
84,3,38,[80-100]
27,43,37,[20-40[
60,,40,[60-80[
17,8,38,]0-20[
22,22,39,[20-40[
22,35,33,[20-40[
17,39,32,]0-20[
100,,36,[80-100]
100,,39,[80-100]
61,18,32,[60-80[
50,5,35,[40-60[
63,18,31,[60-80[
36,30,34,[20-40[
33,,39,[20-40[
100,,38,[80-100]
100,,39,[80-100]
90,4,36,[80-100]
3,29,37,]0-20[
34,40,37,[20-40[
10,20,39,]0-20[
42,8,38,[40-60[
22,44,39,[20-40[
35,23,33,[20-40[
88,9,34,[80-100]
100,,36,[80-100]
100,,39,[80-100]
32,23,33,[20-40[
35,15,33,[20-40[
28,27,31,[20-40[
2,45,33,]0-20[
33,33,38,[20-40[
100,,38,[80-100]
100,,39,[80-100]
95,,37,[80-100]
52,12,38,[40-60[
61,25,37,[60-80[
10,20,39,]0-20[
75,,38,[60-80[
44,11,39,[40-60[
38,29,33,[20-40[
24,38,32,[20-40[
100,,36,[80-100]
100,,39,[80-100]
97,,36,[80-100]
95,,37,[80-100]
19,20,31,]0-20[
64,16,35,[60-80[
67,,39,[60-80[
100,,38,[80-100]
100,,39,[80-100]
90,4,36,[80-100]
16,25,37,]0-20[
30,31,37,[20-40[
50,,40,[40-60[
92,,38,[80-100]
44,22,39,[40-60[
69,13,33,[60-80[
75,14,34,[60-80[
100,,36,[80-100]
100,,39,[80-100]
36,30,31,[20-40[
45,5,35,[40-60[
33,27,31,[20-40[
95,7,35,[80-100]
33,33,38,[20-40[
100,,38,[80-100]
100,,39,[80-100]
81,4,36,[80-100]
42,9,37,[40-60[
16,47,37,]0-20[
30,,40,[20-40[
92,,39,[80-100]
22,33,39,[20-40[
5,46,33,]0-20[
72,9,34,[60-80[
100,,36,[80-100]
100,,39,[80-100]
86,8,36,[80-100]
75,10,36,[60-80[
37,27,31,[20-40[
45,26,35,[40-60[
67,33,38,[60-80[
100,,38,[80-100]
100,,39,[80-100]
33,52,36,[20-40[
97,,38,[80-100]
9,47,37,]0-20[
50,10,40,[40-60[
75,,39,[60-80[
89,,39,[80-100]
62,20,33,[60-80[
70,17,34,[60-80[
100,,36,[80-100]
100,,39,[80-100]
59,22,32,[40-60[
45,10,34,[40-60[
7,32,31,]0-20[
48,30,34,[40-60[
67,33,38,[60-80[
100,,38,[80-100]
100,,39,[80-100]
5,57,36,]0-20[
94,6,38,[80-100]
20,47,37,[20-40[
70,,40,[60-80[
8,8,38,]0-20[
22,33,39,[20-40[
0,46,33,0
0,43,32,0
0,,36,0
0,,39,0
0,37,31,0
0,15,33,0
0,32,31,0
0,45,33,0
0,33,38,0
0,,38,0
0,,39,0
0,57,36,0
0,29,37,0
0,52,37,0
0,,39,0
0,,37,0
0,20,39,0
0,8,38,0
0,44,39,0
0,,39,0
0,,40,0
63,0,41,[60-80[
60,,50,[60-80[
25,,46,[20-40[
100,,48,[80-100]
75,,50,[60-80[
100,,48,[80-100]
50,,40,[40-60[
50,,44,[40-60[
32,19,30,[20-40[
38,7,41,[20-40[
75,,48,[60-80[
88,,41,[80-100]
20,,50,[20-40[
25,,42,[20-40[
100,,48,[80-100]
75,,50,[60-80[
100,,48,[80-100]
50,,40,[40-60[
50,,44,[40-60[
68,2,30,[60-80[
54,7,41,[40-60[
80,,48,[80-100]
25,0,40,[20-40[
40,,50,[40-60[
75,,46,[60-80[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
25,,34,[20-40[
50,,44,[40-60[
61,7,30,[60-80[
8,23,41,]0-20[
65,5,48,[60-80[
25,,40,[20-40[
80,,50,[80-100]
50,,42,[40-60[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
25,,34,[20-40[
50,,41,[40-60[
63,,33,[60-80[
46,7,41,[40-60[
35,5,41,[20-40[
50,,41,[40-60[
60,,50,[60-80[
75,,42,[60-80[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
50,,34,[40-60[
50,,44,[40-60[
5,29,30,]0-20[
23,15,41,[20-40[
50,,48,[40-60[
38,,41,[20-40[
60,,50,[60-80[
25,,42,[20-40[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
50,,34,[40-60[
50,,41,[40-60[
37,12,30,[20-40[
77,15,41,[60-80[
80,,48,[80-100]
75,,41,[60-80[
60,,50,[60-80[
25,,42,[20-40[
100,,48,[80-100]
50,,50,[40-60[
100,,48,[80-100]
25,,34,[20-40[
50,,44,[40-60[
49,2,33,[40-60[
8,23,41,]0-20[
75,,48,[60-80[
88,,41,[80-100]
60,,50,[60-80[
75,,46,[60-80[
100,,48,[80-100]
75,,50,[60-80[
100,,48,[80-100]
25,,40,[20-40[
50,,44,[40-60[
90,2,30,[80-100]
23,15,41,[20-40[
95,,48,[80-100]
25,0,40,[20-40[
60,,50,[60-80[
75,,46,[60-80[
100,,48,[80-100]
75,,50,[60-80[
100,,48,[80-100]
25,,40,[20-40[
50,,41,[40-60[
17,29,30,]0-20[
77,,41,[60-80[
55,,48,[40-60[
38,,40,[20-40[
80,,50,[80-100]
25,,42,[20-40[
100,,48,[80-100]
25,,50,[20-40[
100,,48,[80-100]
50,,40,[40-60[
50,,44,[40-60[
80,14,33,[80-100]
92,,41,[80-100]
75,5,48,[60-80[
0,0,40,0
0,,47,0
0,,50,0
0,,42,0
0,,48,0
0,,50,0
0,,48,0
0,,34,0
0,,41,0
0,29,30,0
0,23,41,0
0,,47,0
0,,47,0
0,5,41,0
